candidate_id,name,email,phone,experience_years,experience_level,education,certifications
16,Mark Crawford,mark.crawford8326@yahoo.com,472-993-2690x2328,5,mid,Master's in Computer Science,"CompTIA A+, CompTIA Network+, CEH"
17,Kristi Miller,kristi.miller624@gmail.com,001-912-705-5691x3556,5,mid,Master's in Information Security,"GIAC Security Essentials (GSEC), CompTIA Security+, CEH"
18,Paula West,paula.west1587@gmail.com,001-636-959-4521x81444,3,mid,Bachelor's in Network Engineering,"CompTIA Security+, GIAC Security Essentials (GSEC)"
19,Lisa Morrison,lisa.morrison9681@gmail.com,+1-913-272-5832x62830,4,mid,Bachelor's in Cybersecurity,"CompTIA A+, CompTIA Network+, Offensive Security Certified Professional (OSCP)"
20,Christopher Walls,christopher.walls9386@gmail.com,(417)514-4655,5,mid,Bachelor's in Computer Science,"GIAC Security Essentials (GSEC), CompTIA Network+, GIAC Certified Incident Handler (GCIH)"
21,Jenny Sanchez,jenny.sanchez8325@hotmail.com,001-952-617-9858x2793,4,mid,Bachelor's in Information Technology,"CompTIA Network+, CompTIA A+, CISM"
22,Richard Calhoun,richard.calhoun4728@gmail.com,001-596-864-5972x971,3,mid,Master's in Information Security,"CompTIA A+, CompTIA Security+"
23,Brianna Jordan,brianna.jordan4438@gmail.com,530.665.4927,2,entry,Master's in Information Security,"CompTIA Security+, CompTIA Network+"
24,Robert Cross,robert.cross1273@yahoo.com,001-297-533-2805,5,mid,Master's in Cybersecurity,"CompTIA Security+, CompTIA A+, GIAC Certified Incident Handler (GCIH)"
25,Jordan Little,jordan.little4640@hotmail.com,630.875.7481x7301,4,mid,Master's in Computer Science,"CompTIA A+, CompTIA Security+, GIAC Certified Incident Handler (GCIH)"
26,Jonathan Taylor,jonathan.taylor3215@yahoo.com,(629)880-2990x3795,2,entry,Bachelor's in Network Engineering,"CompTIA Security+, GIAC Security Essentials (GSEC)"
27,Eric Johnston,eric.johnston7038@yahoo.com,(241)512-8287,5,mid,Master's in Information Security,"GIAC Security Essentials (GSEC), CompTIA Network+, Offensive Security Certified Professional (OSCP)"
28,Victoria Castaneda,victoria.castaneda256@gmail.com,(983)857-2202,3,mid,Bachelor's in Computer Science,"CompTIA A+, CompTIA Security+"
29,Heather Moon,heather.moon2849@hotmail.com,262.480.8161x992,2,entry,Bachelor's in Information Technology,"CompTIA Security+, CompTIA Network+"
30,Emily Gray,emily.gray6205@gmail.com,(842)687-7088x36524,5,mid,Bachelor's in Computer Science,"GIAC Security Essentials (GSEC), CompTIA Security+, CompTIA CySA+"
31,Mary Jenkins,mary.jenkins9467@hotmail.com,(964)834-2410x747,5,mid,Bachelor's in Computer Science,"CompTIA A+, CompTIA Security+, Offensive Security Certified Professional (OSCP)"
32,Jonathan Garcia,jonathan.garcia118@gmail.com,788.614.8094x53230,3,mid,Bachelor's in Cybersecurity,"CompTIA Security+, CompTIA A+"
33,Kenneth Roberts,kenneth.roberts2559@hotmail.com,930-490-2599,1,entry,Bachelor's in Network Engineering,GIAC Security Essentials (GSEC)
34,Cynthia Charles,cynthia.charles7440@hotmail.com,639-253-7298x763,1,entry,Bachelor's in Cybersecurity,GIAC Security Essentials (GSEC)
35,Samantha Clark,samantha.clark9166@yahoo.com,+1-257-258-9016,0,entry,Master's in Cybersecurity,
36,Summer Ross,summer.ross9402@gmail.com,001-705-635-0971x49806,5,mid,Master's in Computer Science,"GIAC Security Essentials (GSEC), CompTIA Network+, GIAC Certified Incident Handler (GCIH)"
37,Katelyn Beard,katelyn.beard2543@yahoo.com,+1-676-889-8063x446,2,entry,Bachelor's in Computer Science,"CompTIA Network+, CompTIA Security+"
38,Thomas Chapman,thomas.chapman5863@yahoo.com,4732410215,5,mid,Bachelor's in Information Technology,"CompTIA Network+, CompTIA A+, CISA"
39,Shawn Benson,shawn.benson237@hotmail.com,(989)309-9069x61627,3,mid,Bachelor's in Computer Science,"CompTIA Security+, CompTIA Network+"
40,Pamela Mclean,pamela.mclean261@gmail.com,271-972-3214x43916,2,entry,Master's in Information Security,"GIAC Security Essentials (GSEC), CompTIA Network+"
41,Crystal Thompson,crystal.thompson9239@hotmail.com,963.741.0622,5,mid,Associate's in Cybersecurity,"CompTIA Network+, CompTIA A+, CompTIA CySA+"
42,Cynthia Bailey,cynthia.bailey2525@hotmail.com,735.850.6068,2,entry,Master's in Computer Science,"CompTIA Network+, GIAC Security Essentials (GSEC)"
43,Sara Hancock,sara.hancock8783@hotmail.com,+1-763-617-2959x9854,6,mid,Bachelor's in Computer Science,"CompTIA A+, CompTIA Network+, Offensive Security Certified Professional (OSCP), GIAC Certified Incident Handler (GCIH)"
44,Mark White,mark.white1531@yahoo.com,774-952-7073,2,entry,Bachelor's in Computer Science,"GIAC Security Essentials (GSEC), CompTIA A+"
45,Lisa Gibson,lisa.gibson1109@hotmail.com,(282)685-9637x772,5,mid,Bachelor's in Information Technology,"CompTIA A+, CompTIA Network+, Offensive Security Certified Professional (OSCP)"
46,Louis Lee,louis.lee3774@hotmail.com,001-463-752-9292x1194,5,mid,Master's in Computer Science,"CompTIA A+, CompTIA Security+, CompTIA CySA+"
47,Gail Jones,gail.jones1556@hotmail.com,(878)892-7778,4,mid,Master's in Cybersecurity,"CompTIA A+, CompTIA Security+, CompTIA CySA+"
48,David Lambert,david.lambert4037@gmail.com,001-984-975-1366x899,4,mid,Bachelor's in Computer Science,"GIAC Security Essentials (GSEC), CompTIA A+, CEH"
49,Keith Collins,keith.collins7613@gmail.com,716.604.0950,3,mid,Bachelor's in Cybersecurity,"CompTIA Network+, CompTIA A+"
50,Cynthia Brown,cynthia.brown1801@gmail.com,001-882-286-8366x06119,2,entry,Bachelor's in Computer Science,"GIAC Security Essentials (GSEC), CompTIA A+"
51,Kenneth Benson,kenneth.benson5937@yahoo.com,288.663.1460x33503,3,mid,Master's in Computer Science,"CompTIA Security+, CompTIA Network+"
52,Ann Young,ann.young2005@yahoo.com,001-980-744-8277,0,entry,Bachelor's in Network Engineering,
53,Elizabeth Pineda,elizabeth.pineda4984@hotmail.com,(246)774-0798x6877,4,mid,Master's in Information Security,"CompTIA A+, CompTIA Network+, CISA"
54,Thomas Robertson,thomas.robertson5067@hotmail.com,6422360268,2,entry,Bachelor's in Computer Science,"CompTIA A+, GIAC Security Essentials (GSEC)"
55,Veronica Moran,veronica.moran3694@hotmail.com,001-733-677-9608x084,5,mid,Master's in Computer Science,"CompTIA Network+, CompTIA Security+, CISA"
56,Anthony Haynes,anthony.haynes20@gmail.com,+1-510-533-3692,4,mid,Master's in Computer Science,"CompTIA Network+, GIAC Security Essentials (GSEC), CISM"
57,Samantha Middleton,samantha.middleton4637@gmail.com,001-762-539-3082x274,2,entry,Associate's in Cybersecurity,"CompTIA Network+, CompTIA Security+"
58,Sarah Harrell,sarah.harrell3998@hotmail.com,001-620-308-3589,7,mid,Associate's in Cybersecurity,"GIAC Security Essentials (GSEC), CompTIA Security+, CISSP, Offensive Security Certified Professional (OSCP)"
59,Joel Smith,joel.smith9839@gmail.com,896-751-5441,4,mid,Master's in Cybersecurity,"CompTIA Security+, CompTIA A+, CEH"
60,Kelsey Rosales,kelsey.rosales3621@gmail.com,202-596-0158,5,mid,Master's in Information Security,"CompTIA A+, CompTIA Security+, CISSP"
61,Jacob Smith,jacob.smith1842@yahoo.com,(383)252-4978,5,mid,Master's in Cybersecurity,"CompTIA Security+, CompTIA A+, CISSP"
62,Bruce Simmons,bruce.simmons4260@gmail.com,405-579-4655,2,entry,Master's in Cybersecurity,"CompTIA A+, CompTIA Security+"
63,Michelle Ross,michelle.ross2274@gmail.com,001-896-990-4035,2,entry,Associate's in Cybersecurity,"CompTIA A+, CompTIA Network+"
64,Manuel Moore,manuel.moore5950@yahoo.com,989-849-1757,6,mid,Bachelor's in Cybersecurity,"CompTIA A+, CompTIA Security+, GIAC Certified Incident Handler (GCIH), CompTIA CySA+"
65,Austin Ali,austin.ali5731@hotmail.com,(374)652-2153x89144,2,entry,Master's in Computer Science,"CompTIA A+, GIAC Security Essentials (GSEC)"
66,Andre Smith,andre.smith6617@hotmail.com,433.380.6851x71795,5,mid,Master's in Information Security,"CompTIA Security+, CompTIA A+, CEH"
67,Rachel Marks,rachel.marks3085@hotmail.com,8375615629,3,mid,Master's in Information Security,"CompTIA A+, CompTIA Security+"
68,Jessica Taylor,jessica.taylor6007@hotmail.com,4784171595,3,mid,Bachelor's in Computer Science,"CompTIA A+, GIAC Security Essentials (GSEC)"
69,Eric Larson,eric.larson3556@hotmail.com,001-613-911-9676x01249,8,senior,Bachelor's in Computer Science,"CompTIA Security+, CompTIA Network+, CompTIA CySA+, CISA"
70,Terry Sanchez,terry.sanchez6860@yahoo.com,001-657-484-2541x112,4,mid,Bachelor's in Computer Science,"CompTIA A+, GIAC Security Essentials (GSEC), CEH"
71,Monique Miller,monique.miller3126@gmail.com,+1-415-278-2317,4,mid,Bachelor's in Network Engineering,"CompTIA A+, CompTIA Network+, CISA"
72,Samuel Kramer,samuel.kramer1466@hotmail.com,809.294.8347x52251,5,mid,Master's in Cybersecurity,"GIAC Security Essentials (GSEC), CompTIA A+, CISA"
73,Tiffany Cox,tiffany.cox5635@hotmail.com,001-644-789-5967x724,3,mid,Master's in Computer Science,"CompTIA Security+, CompTIA A+"
74,Shannon Small,shannon.small3418@gmail.com,546-832-4324x094,2,entry,Master's in Cybersecurity,"CompTIA A+, CompTIA Network+"
75,Vanessa Sherman,vanessa.sherman7767@gmail.com,410-887-0989,3,mid,Bachelor's in Information Technology,"GIAC Security Essentials (GSEC), CompTIA Network+"
76,Amy Owens,amy.owens7357@gmail.com,(961)209-4188x9340,0,entry,Bachelor's in Information Technology,
77,Christopher Holmes,christopher.holmes8381@hotmail.com,(709)936-5749x104,5,mid,Master's in Cybersecurity,"GIAC Security Essentials (GSEC), CompTIA Network+, CEH"
78,Michelle Shaw,michelle.shaw3561@yahoo.com,566.404.4109,3,mid,Bachelor's in Information Technology,"CompTIA Network+, CompTIA Security+"
79,Rebecca Cooper,rebecca.cooper2930@hotmail.com,909-551-9343x54296,5,mid,Bachelor's in Network Engineering,"GIAC Security Essentials (GSEC), CompTIA Network+, GIAC Certified Incident Handler (GCIH)"
80,Robert Gardner,robert.gardner5719@gmail.com,001-806-910-5381x3761,0,entry,Bachelor's in Computer Science,
81,Lori Bennett,lori.bennett7419@hotmail.com,655.936.8390,5,mid,Bachelor's in Network Engineering,"CompTIA Network+, CompTIA Security+, CISA"
82,Nicole Lee,nicole.lee9464@gmail.com,+1-328-349-2443x43549,5,mid,Master's in Cybersecurity,"CompTIA Network+, CompTIA Security+, Offensive Security Certified Professional (OSCP)"
83,Renee Sloan,renee.sloan8135@hotmail.com,(545)218-5993x7896,2,entry,Master's in Cybersecurity,"GIAC Security Essentials (GSEC), CompTIA Security+"
84,Matthew Johnson,matthew.johnson4924@gmail.com,393-451-9624x9107,3,mid,Master's in Cybersecurity,"CompTIA A+, CompTIA Security+"
85,Samuel Lopez,samuel.lopez86@yahoo.com,756-459-7990x789,2,entry,Master's in Cybersecurity,"CompTIA Network+, CompTIA A+"
86,Billy Rice,billy.rice9079@yahoo.com,429.301.9342x59076,10,senior,Master's in Information Security,"GIAC Security Essentials (GSEC), CompTIA Network+, GIAC Certified Incident Handler (GCIH), CompTIA CySA+"
87,Destiny Gibson,destiny.gibson4435@hotmail.com,7769786300,7,mid,Bachelor's in Network Engineering,"CompTIA Network+, CompTIA A+, Offensive Security Certified Professional (OSCP), CompTIA CySA+"
88,Breanna Jimenez,breanna.jimenez7236@gmail.com,585.454.2740,6,mid,Bachelor's in Information Technology,"CompTIA Security+, CompTIA Network+, CISSP, GIAC Certified Incident Handler (GCIH)"
89,Paul Phillips,paul.phillips6257@yahoo.com,+1-530-339-1427x81582,4,mid,Bachelor's in Information Technology,"GIAC Security Essentials (GSEC), CompTIA Network+, GIAC Certified Incident Handler (GCIH)"
90,Jennifer Huang,jennifer.huang5205@yahoo.com,447-905-8822x11528,7,mid,Master's in Cybersecurity,"CompTIA Security+, CompTIA Network+, CEH, CISSP"
91,Joshua James,joshua.james8183@hotmail.com,202-261-9980,5,mid,Master's in Information Security,"GIAC Security Essentials (GSEC), CompTIA Security+, CEH"
92,Kenneth Benson,kenneth.benson1688@hotmail.com,215.882.2135x3820,3,mid,Master's in Cybersecurity,"GIAC Security Essentials (GSEC), CompTIA A+"
93,Melissa Austin,melissa.austin6441@yahoo.com,773-838-5847x5013,4,mid,Master's in Information Security,"CompTIA A+, GIAC Security Essentials (GSEC), CISA"
94,Robert Smith,robert.smith8124@gmail.com,289.608.8426,6,mid,Master's in Information Security,"CompTIA Security+, CompTIA A+, CompTIA CySA+, Offensive Security Certified Professional (OSCP)"
95,Dean Davis,dean.davis3267@hotmail.com,565.632.1081,7,mid,Master's in Cybersecurity,"CompTIA Network+, GIAC Security Essentials (GSEC), CISA, GIAC Certified Incident Handler (GCIH)"
96,Theresa Rios,theresa.rios5941@hotmail.com,653.779.2288,5,mid,Master's in Cybersecurity,"CompTIA Network+, CompTIA A+, CISSP"
97,Stephanie Martinez,stephanie.martinez6172@yahoo.com,+1-507-959-3508x280,4,mid,Associate's in Cybersecurity,"CompTIA Security+, CompTIA A+, CISM"
98,Jack Martinez,jack.martinez3368@yahoo.com,(960)680-1182x190,4,mid,Bachelor's in Cybersecurity,"CompTIA Security+, CompTIA A+, CISSP"
99,Michael Schneider,michael.schneider6490@gmail.com,+1-945-266-8694,5,mid,Bachelor's in Computer Science,"GIAC Security Essentials (GSEC), CompTIA Security+, CISA"
100,Denise Kramer,denise.kramer8791@hotmail.com,461-653-4084,3,mid,Master's in Cybersecurity,"CompTIA Security+, CompTIA A+"
101,Louis Reyes,louis.reyes6335@gmail.com,5837299267,4,mid,Bachelor's in Network Engineering,"GIAC Security Essentials (GSEC), CompTIA Security+, CompTIA CySA+"
102,Thomas Munoz,thomas.munoz6785@gmail.com,359.583.0315x1446,6,mid,Bachelor's in Computer Science,"CompTIA Network+, CompTIA Security+, CEH, CISSP"
103,Kevin Rasmussen,kevin.rasmussen6363@gmail.com,(476)845-8802x28584,6,mid,Master's in Computer Science,"GIAC Security Essentials (GSEC), CompTIA Security+, Offensive Security Certified Professional (OSCP), CompTIA CySA+"
104,Kenneth Zavala,kenneth.zavala9318@hotmail.com,+1-882-831-3472,6,mid,Master's in Cybersecurity,"CompTIA Security+, CompTIA Network+, CISM, CEH"
105,Taylor Alexander,taylor.alexander1184@hotmail.com,7066639822,4,mid,Associate's in Cybersecurity,"CompTIA A+, GIAC Security Essentials (GSEC), CISSP"
106,Jordan Price,jordan.price9218@hotmail.com,920-413-3270x492,7,mid,Associate's in Cybersecurity,"CompTIA Network+, CompTIA Security+, CEH, CISM"
107,Wendy Jones,wendy.jones2618@yahoo.com,001-498-961-4228x9467,3,mid,Bachelor's in Information Technology,"GIAC Security Essentials (GSEC), CompTIA A+"
108,Brent Flores,brent.flores5065@yahoo.com,589.252.5693x726,6,mid,Master's in Cybersecurity,"CompTIA Security+, GIAC Security Essentials (GSEC), Offensive Security Certified Professional (OSCP), CISSP"
109,Anthony Holland,anthony.holland6139@yahoo.com,659.783.5548x82656,8,senior,Master's in Cybersecurity,"GIAC Security Essentials (GSEC), CompTIA Security+, CISM, CompTIA CySA+"
110,Melanie Williams,melanie.williams6941@hotmail.com,767.545.2470x462,5,mid,Master's in Cybersecurity,"GIAC Security Essentials (GSEC), CompTIA Security+, CISSP"
111,Jerry Chaney,jerry.chaney2932@hotmail.com,001-588-502-2613,9,senior,Bachelor's in Network Engineering,"CompTIA A+, CompTIA Security+, CISM, CISA"
112,Steven Hamilton,steven.hamilton2304@yahoo.com,+1-941-225-9549,6,mid,Bachelor's in Computer Science,"CompTIA A+, GIAC Security Essentials (GSEC), CEH, CISSP"
113,Brad Murray,brad.murray7503@yahoo.com,(483)993-1589x69760,4,mid,Master's in Cybersecurity,"CompTIA Network+, GIAC Security Essentials (GSEC), CISA"
114,Gwendolyn Lee,gwendolyn.lee7265@gmail.com,737.408.0050,9,senior,Bachelor's in Computer Science,"CompTIA Network+, CompTIA Security+, GIAC Certified Incident Handler (GCIH), CEH"
115,Matthew Williams,matthew.williams9118@yahoo.com,480-307-0610x5340,6,mid,Bachelor's in Network Engineering,"CompTIA Security+, CompTIA A+, Offensive Security Certified Professional (OSCP), CISM"
116,Tracy Jones,tracy.jones226@gmail.com,352-206-7558x7304,9,senior,Master's in Information Security,"CompTIA Network+, CompTIA Security+, CompTIA CySA+, CEH"
117,Stephanie Miller,stephanie.miller367@hotmail.com,001-350-722-0408x7339,3,mid,Bachelor's in Network Engineering,"CompTIA Network+, CompTIA A+"
118,Cory Hinton,cory.hinton3030@gmail.com,6027970153,7,mid,Master's in Cybersecurity,"CompTIA A+, CompTIA Security+, CISM, CISSP"
119,Justin Houston,justin.houston7416@gmail.com,689-463-3375x7018,6,mid,Master's in Information Security,"CompTIA Security+, GIAC Security Essentials (GSEC), CISSP, CEH"
120,Laura Conway,laura.conway2769@gmail.com,433-469-7873x280,5,mid,Master's in Information Security,"GIAC Security Essentials (GSEC), CompTIA Security+, CEH"
121,Kathleen Henderson,kathleen.henderson4001@gmail.com,(967)404-8690x00493,4,mid,Master's in Cybersecurity,"GIAC Security Essentials (GSEC), CompTIA A+, Offensive Security Certified Professional (OSCP)"
122,Andrew Wells,andrew.wells7734@hotmail.com,001-429-229-7193,4,mid,Master's in Computer Science,"CompTIA Network+, CompTIA A+, CISSP"
123,Amber Romero,amber.romero7255@gmail.com,+1-821-224-4665x96826,3,mid,Master's in Cybersecurity,"CompTIA A+, GIAC Security Essentials (GSEC)"
124,Gwendolyn Roth,gwendolyn.roth7770@yahoo.com,001-677-501-7193x424,7,mid,Associate's in Cybersecurity,"CompTIA Security+, CompTIA A+, Offensive Security Certified Professional (OSCP), CISSP"
125,Peggy Wang,peggy.wang609@gmail.com,(232)843-5844x91381,6,mid,Master's in Information Security,"CompTIA Security+, CompTIA Network+, Offensive Security Certified Professional (OSCP), CEH"
126,Michael May,michael.may6121@gmail.com,001-278-775-1006x79470,3,mid,Master's in Cybersecurity,"CompTIA Network+, CompTIA Security+"
127,Terry Johnson,terry.johnson8505@hotmail.com,(244)953-1047x698,7,mid,Master's in Cybersecurity,"CompTIA Network+, CompTIA A+, CISSP, CompTIA CySA+"
128,John Montes,john.montes1209@yahoo.com,903-507-2396x11036,7,mid,Master's in Computer Science,"GIAC Security Essentials (GSEC), CompTIA Security+, Offensive Security Certified Professional (OSCP), CISSP"
129,Susan Gonzalez,susan.gonzalez776@gmail.com,558.718.1326x8619,4,mid,Bachelor's in Computer Science,"GIAC Security Essentials (GSEC), CompTIA Security+, GIAC Certified Incident Handler (GCIH)"
130,Susan Oconnor,susan.oconnor1735@hotmail.com,594.405.9073x834,6,mid,Master's in Information Security,"CompTIA Security+, CompTIA A+, CISM, GIAC Certified Incident Handler (GCIH)"
131,Lynn Bird,lynn.bird6549@hotmail.com,+1-574-644-6845,4,mid,Bachelor's in Cybersecurity,"CompTIA Network+, CompTIA Security+, Offensive Security Certified Professional (OSCP)"
132,Chelsea Berry,chelsea.berry1102@yahoo.com,564-864-7861,7,mid,Master's in Computer Science,"GIAC Security Essentials (GSEC), CompTIA Security+, CompTIA CySA+, CEH"
133,Christopher Powers,christopher.powers766@hotmail.com,657.439.4740,7,mid,Bachelor's in Information Technology,"CompTIA Security+, CompTIA A+, CISM, CompTIA CySA+"
134,Sandra Robinson,sandra.robinson5101@yahoo.com,759-703-8444,5,mid,Associate's in Cybersecurity,"CompTIA A+, CompTIA Network+, CISM"
135,Kelly Pacheco,kelly.pacheco5358@hotmail.com,551.822.8083,3,mid,Master's in Information Security,"GIAC Security Essentials (GSEC), CompTIA Network+"
136,Paul Mccormick,paul.mccormick7815@yahoo.com,001-402-275-0216,4,mid,Bachelor's in Network Engineering,"CompTIA Security+, GIAC Security Essentials (GSEC), CISSP"
137,Lisa Jones,lisa.jones1369@gmail.com,+1-919-961-1834x27263,6,mid,Bachelor's in Cybersecurity,"CompTIA A+, CompTIA Security+, CISSP, Offensive Security Certified Professional (OSCP)"
138,Melissa Rivera,melissa.rivera321@hotmail.com,331-282-6120,5,mid,Master's in Information Security,"CompTIA Security+, CompTIA A+, GIAC Certified Incident Handler (GCIH)"
139,Yolanda Doyle,yolanda.doyle6296@hotmail.com,391-260-2375x999,5,mid,Master's in Computer Science,"GIAC Security Essentials (GSEC), CompTIA Network+, CompTIA CySA+"
140,Laura Burke,laura.burke6391@gmail.com,+1-677-543-7990,4,mid,Bachelor's in Computer Science,"CompTIA Network+, CompTIA A+, CISM"
141,Lynn Barnes,lynn.barnes4326@gmail.com,(879)505-4834x405,2,entry,Master's in Cybersecurity,"GIAC Security Essentials (GSEC), CompTIA A+"
142,Tammy Ray,tammy.ray277@gmail.com,9234050170,7,mid,Master's in Cybersecurity,"CompTIA A+, GIAC Security Essentials (GSEC), CompTIA CySA+, CISA"
143,Paige Valenzuela,paige.valenzuela4703@gmail.com,666.383.4162,5,mid,Master's in Information Security,"CompTIA A+, GIAC Security Essentials (GSEC), CEH"
144,Kristen Smith,kristen.smith291@yahoo.com,849.576.4429,7,mid,Associate's in Cybersecurity,"GIAC Security Essentials (GSEC), CompTIA A+, CEH, GIAC Certified Incident Handler (GCIH)"
145,David Cox,david.cox6026@hotmail.com,001-390-489-0728x094,4,mid,Master's in Information Security,"GIAC Security Essentials (GSEC), CompTIA A+, CISA"
146,Chelsea Costa,chelsea.costa6931@hotmail.com,7178612305,6,mid,Master's in Cybersecurity,"CompTIA A+, GIAC Security Essentials (GSEC), Offensive Security Certified Professional (OSCP), CEH"
147,Jamie Smith,jamie.smith1698@yahoo.com,(364)976-1383x388,7,mid,Bachelor's in Information Technology,"CompTIA Network+, CompTIA Security+, CISA, CEH"
148,Kristopher Lane,kristopher.lane4590@gmail.com,(930)747-7547,4,mid,Bachelor's in Network Engineering,"CompTIA A+, CompTIA Security+, CISA"
149,Patrick Larson,patrick.larson1468@hotmail.com,+1-653-575-6161x6100,7,mid,Bachelor's in Information Technology,"CompTIA Network+, CompTIA A+, GIAC Certified Incident Handler (GCIH), CISM"
150,Kathryn Kaufman,kathryn.kaufman5388@hotmail.com,614.557.6513x47742,5,mid,Master's in Cybersecurity,"CompTIA Security+, GIAC Security Essentials (GSEC), CompTIA CySA+"
151,Douglas Watson,douglas.watson148@gmail.com,(346)915-4133x8715,3,mid,Bachelor's in Network Engineering,"CompTIA Security+, GIAC Security Essentials (GSEC)"
152,Amy Williams,amy.williams69@hotmail.com,638-255-6419x2970,3,mid,Master's in Computer Science,"GIAC Security Essentials (GSEC), CompTIA A+"
153,Susan Thomas,susan.thomas6158@yahoo.com,405.812.4196x792,3,mid,Bachelor's in Information Technology,"GIAC Security Essentials (GSEC), CompTIA Security+"
154,Pamela Foley,pamela.foley6166@gmail.com,(931)571-7600,5,mid,Master's in Computer Science,"GIAC Security Essentials (GSEC), CompTIA Network+, CISA"
155,Andrea Torres,andrea.torres8304@hotmail.com,001-998-421-5901x924,4,mid,Bachelor's in Information Technology,"CompTIA A+, CompTIA Network+, CEH"
156,Keith Perkins,keith.perkins8775@hotmail.com,(293)413-8192x9543,9,senior,Master's in Computer Science,"GIAC Security Essentials (GSEC), CompTIA Security+, Offensive Security Certified Professional (OSCP), CISA"
157,Jacob Bennett,jacob.bennett5214@hotmail.com,848-353-0265x103,6,mid,Bachelor's in Cybersecurity,"CompTIA Network+, GIAC Security Essentials (GSEC), GIAC Certified Incident Handler (GCIH), CEH"
158,Carla Bryant,carla.bryant5375@yahoo.com,576-296-6690,8,senior,Master's in Information Security,"CompTIA Security+, GIAC Security Essentials (GSEC), CompTIA CySA+, CISA"
159,James Miller,james.miller8043@gmail.com,(382)990-4743x041,2,entry,Master's in Information Security,"GIAC Security Essentials (GSEC), CompTIA Security+"
160,Rickey Swanson,rickey.swanson5424@hotmail.com,(885)503-7327x681,1,entry,Associate's in Cybersecurity,CompTIA Network+
161,John Choi,john.choi595@hotmail.com,(711)462-5113,6,mid,Bachelor's in Cybersecurity,"CompTIA Security+, CompTIA A+, CISA, CompTIA CySA+"
162,Wesley Patterson,wesley.patterson4765@hotmail.com,493-873-6004x1438,4,mid,Associate's in Cybersecurity,"CompTIA A+, GIAC Security Essentials (GSEC), GIAC Certified Incident Handler (GCIH)"
163,Megan Allen,megan.allen2772@gmail.com,739.312.6670x69308,3,mid,Bachelor's in Network Engineering,"CompTIA A+, CompTIA Network+"
164,Patricia Blair,patricia.blair1957@yahoo.com,390-325-5770x4419,6,mid,Master's in Cybersecurity,"GIAC Security Essentials (GSEC), CompTIA A+, CISM, GIAC Certified Incident Handler (GCIH)"
165,Emily Atkinson,emily.atkinson3451@gmail.com,001-528-995-8093x2346,1,entry,Bachelor's in Computer Science,GIAC Security Essentials (GSEC)
166,Bradley Orozco,bradley.orozco1991@yahoo.com,(604)409-6511,3,mid,Associate's in Cybersecurity,"GIAC Security Essentials (GSEC), CompTIA Network+"
167,Andrew Tran,andrew.tran261@gmail.com,354-221-7965x5479,4,mid,Bachelor's in Cybersecurity,"CompTIA Network+, CompTIA A+, Offensive Security Certified Professional (OSCP)"
